Rk,Player,Pos,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,cluster
350,Dejounte Murray,PG,58,1447,17.1,0.535,0.168,0.175,5.0,20.0,12.5,23.7,3.3,1.0,15.7,20.6,0.9,1.7,2.6,0.087,-0.5,1.5,1.0,1.1,1
351,Jamal Murray,PG,55,1804,17.5,0.5589999999999999,0.359,0.209,2.6,10.8,6.7,22.7,1.8,0.8,11.8,25.2,2.5,1.6,4.2,0.111,1.8,-0.7,1.1,1.4,1
352,Džanan Musa,SF,35,404,8.4,0.467,0.46799999999999997,0.317,5.0,12.9,9.0,11.0,1.5,0.2,15.5,19.4,-0.4,0.4,0.0,0.006,-4.1,-0.7,-4.8,-0.3,8
353,Mike Muscala,C,41,492,12.2,0.56,0.755,0.138,3.0,17.7,10.6,9.8,0.8,1.9,7.7,16.4,0.5,0.5,1.0,0.102,-0.1,-0.1,-0.2,0.2,6
354,Sviatoslav Mykhailiuk,SF,56,1265,11.2,0.578,0.7040000000000001,0.17300000000000001,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.0,0.6,1.6,0.06,-0.7,-1.2,-1.8,0.0,8
355,Abdel Nader,SF,48,756,11.2,0.58,0.47700000000000004,0.282,2.1,10.8,6.6,6.6,1.3,2.3,12.7,16.5,0.4,0.7,1.1,0.07200000000000001,-1.1,0.2,-0.8,0.2,2
356,Larry Nance Jr.,C,56,1472,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.3,1.8,1.4,0
357,Shabazz Napier,PG,51,1234,14.5,0.555,0.5379999999999999,0.341,2.1,10.8,6.3,29.1,2.5,0.6,18.9,19.6,1.1,0.8,1.9,0.075,-0.3,-0.2,-0.5,0.5,7
358,Raul Neto,PG,49,565,11.5,0.562,0.406,0.177,2.1,8.0,5.1,19.3,1.9,0.8,18.2,17.6,0.2,0.6,0.8,0.071,-1.8,-0.1,-1.9,0.0,7
360,Georges Niang,PF,58,772,12.4,0.612,0.698,0.083,1.8,13.2,7.7,6.7,0.8,0.5,8.6,17.1,1.0,0.7,1.7,0.105,0.9,-0.4,0.5,0.5,2
361,Nerlens Noel,C,55,1014,21.7,0.7140000000000001,0.012,0.386,9.3,20.0,14.8,7.9,2.7,6.9,15.4,15.3,2.7,2.1,4.8,0.225,0.5,3.4,4.0,1.5,5
364,Frank Ntilikina,PG,57,1187,9.8,0.49700000000000005,0.41100000000000003,0.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,0.037000000000000005,-3.6,0.4,-3.2,-0.4,7
365,Kendrick Nunn,SG,62,1846,13.5,0.545,0.426,0.10800000000000001,1.2,8.7,5.1,18.7,1.4,0.6,10.2,23.7,1.0,1.4,2.4,0.064,-0.7,-1.3,-2.0,0.0,1
366,David Nwaba,SF,20,268,14.0,0.627,0.39399999999999996,0.38,3.2,13.9,8.6,4.4,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.142,-1.1,2.0,1.0,0.2,6
367,Royce O'Neale,PF,64,1862,9.3,0.584,0.657,0.153,1.4,17.8,10.0,11.5,1.2,1.3,12.7,9.3,1.8,2.2,4.0,0.10400000000000001,-1.3,2.1,0.8,1.3,2
368,Kyle O'Quinn,C,26,258,18.1,0.541,0.319,0.264,13.7,28.3,21.0,19.1,0.9,7.3,18.3,16.5,0.3,0.5,0.8,0.155,-0.7,2.2,1.5,0.2,3
369,Semi Ojeleye,PF,61,891,7.6,0.557,0.616,0.17600000000000002,2.9,11.9,7.5,4.5,1.0,0.5,6.5,8.8,0.8,0.9,1.7,0.091,-2.1,0.5,-1.6,0.1,2
370,Jahlil Okafor,C,28,424,17.8,0.631,0.013999999999999999,0.40299999999999997,11.4,18.2,14.8,12.6,0.8,3.7,17.5,19.8,0.7,0.4,1.1,0.129,-0.8,0.6,-0.2,0.2,5
371,Elie Okobo,PG,54,707,10.5,0.511,0.392,0.37,2.5,11.6,6.9,21.5,1.6,0.5,15.3,14.9,0.4,0.5,0.9,0.059000000000000004,-2.0,-0.1,-2.1,0.0,1
372,Josh Okogie,SG,62,1547,11.5,0.5529999999999999,0.387,0.48,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,1.0,1.2,2.2,0.067,-2.4,0.0,-2.4,-0.1,2
375,Kelly Olynyk,C,59,1089,14.7,0.64,0.584,0.259,4.0,22.0,13.4,13.2,1.7,1.6,15.1,16.9,1.7,1.5,3.2,0.14,0.1,1.0,1.1,0.8,6
377,Cedi Osman,SF,65,1910,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.1,0.5,1.6,0.04,-1.6,-0.9,-2.6,-0.3,8
