Rk,Player,Pos,Tm,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
433,Collin Sexton,SG,CLE,65,2143,16.3,0.56,0.235,0.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.2,0.3,2.5,0.057,0.3,-2.1,-1.8,0.1
434,Landry Shamet,SG,LAC,47,1294,9.2,0.599,0.764,0.179,0.5,6.5,3.6,9,0.7,0.6,8.7,13.3,1.7,1,2.7,0.1,-1.4,-0.2,-1.6,0.1
437,Pascal Siakam,PF,TOR,53,1882,18.7,0.559,0.32,0.275,3.3,18.8,11.2,17,1.3,2.5,10.5,28.5,2,3.2,5.2,0.133,1.7,0.5,2.2,2
438,Chris Silva,PF,MIA,41,307,17.2,0.663,0.029,0.71,20.6,19.3,19.9,10.2,1.4,5.8,25.5,17.5,0.7,0.5,1.1,0.178,-3.4,0.9,-2.5,0
439,Ben Simmons,PG,PHI,54,1930,20.8,0.608,0.01,0.46,6.2,18,12.1,34.8,2.9,1.4,20.6,20.9,3.8,3.2,7,0.174,1.4,2.4,3.9,2.9
440,Anfernee Simons,SG,POR,65,1400,9.3,0.506,0.417,0.175,1.9,8.9,5.4,9.4,0.9,0.6,9.7,19,0.1,0.2,0.3,0.01,-2.5,-1.8,-4.4,-0.8
442,Marcus Smart,SG,BOS,53,1721,14,0.519,0.582,0.201,2.5,10.1,6.4,21,2.4,1.5,11.5,19.3,1.7,2.4,4.1,0.115,0.2,1.3,1.6,1.5
443,Dennis Smith Jr.,PG,NYK,34,537,7.5,0.399,0.256,0.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,-1.3,0.5,-0.9,-0.079,-5.2,-0.9,-6.1,-0.6
444,Ish Smith,PG,WAS,60,1570,13.8,0.512,0.258,0.12,1.9,11.7,6.6,25.9,1.5,1.3,11.2,18.3,1.3,0.4,1.7,0.053,-0.3,-1.1,-1.4,0.2
446,Tony Snell,SF,DET,59,1641,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.1,-0.6,-1.8,0.1
